Director,Average Popularity Score
James Glenn Dudelson,2.69275
Chad Ferrin,2.685857142857143
Tom Savini,2.685
Colin Krawchuk,2.6815
Michael J. Epstein,2.677
Nicholas Malden,2.6446666666666667
Scott Schirmer,2.6442
Marc Fratto,2.630333333333333
Ricky Umberger,2.58275
Gigi Saul Guerrero,2.5821666666666663
Michael Peterson,2.5756666666666663
Tristan Price,2.5713333333333335
Dustin Rikert,2.5687499999999996
Mel House,2.5445
Master Hughes,2.527
James Felix McKenney,2.5193333333333334
Mary Dauterman,2.5043333333333333
Anthony Leroy,2.4962222222222223
Ralph E. Portillo,2.495
Patrick Johnson,2.471
James Bickert,2.4685
Stephen Tramontana,2.4683333333333333
Richard Gale,2.4636666666666667
Josh Hasty,2.4575
John Lechago,2.446
Christopher Cox,2.445
Joseph Mazzaferro,2.442
Justin Paul Ritter,2.428
Jem Garrard,2.4195
Brian Skiba,2.41
Tony Olmos,2.40325
Chris McInroy,2.3977999999999997
Bill Plympton,2.3556666666666666
Amir Valinia,2.3486666666666665
Sean Donohue,2.345
Rickey Bird Jr.,2.344
Michelle Iannantuono,2.3425000000000002
Jeremiah Kipp,2.318
Jason Impey,2.316
Marcus Koch,2.316
Mark Polonia,2.309861111111111
Mark Savage,2.3080000000000003
James Sizemore,2.3063333333333333
David Palmieri,2.3018571428571435
A.D. Calvo,2.300333333333333
Justin Russell,2.2965
Ulli Lommel,2.2928333333333333
Michael Crum,2.2876000000000003
Brian Avenet-Bradley,2.2855
Patrick Rea,2.2729230769230773
Kevin Kangas,2.2704
Calvin Lee Reeder,2.2672
Dutch Marich,2.261125
Ryan Cavalline,2.255333333333333
Robert Malenfant,2.2406666666666664
Ryan Nicholson,2.238
Joshua Kennedy,2.2358333333333333
Jared Masters,2.2328333333333332
Tristan Winchester,2.232
Maggie Levin,2.23
Jamie Nash,2.2075
Chip Gubera,2.2039999999999997
David J. Skal,2.1982857142857144
Jordan Pacheco,2.1955
Tony Marsiglia,2.1953333333333336
Frank Sabatella,2.187
François Simard,2.1776666666666666
Brett Piper,2.168222222222222
Jamison M. LoCascio,2.166
Lou Simon,2.1654999999999998
Gregory Hatanaka,2.1586666666666665
Graham Reznick,2.1550000000000002
Seth Breedlove,2.149
Matt Jaissle,2.1487499999999997
Sean Tretta,2.1435
Andrew J Chambers,2.1425
Greg Emetaz,2.14
Steven Vasquez,2.1395
Jimmy ScreamerClauz,2.1325714285714286
Michael R. Morris,2.132
Matt McWilliams,2.1206666666666667
Ford Austin,2.1115
J. Horton,2.091
Timothy Bond,2.0815
Peter Mervis,2.078666666666667
Brandon Rhiness,2.05925
Brett Kelly,2.05825
Bob Cook,2.057
J. Christian Ingvordsen,2.0556666666666668
Eben McGarr,2.0435
Isaac Rodriguez,2.040785714285714
Tony Wash,2.0336000000000003
Dillon Brown,2.024
Dante Tomaselli,2.011
Chris Angel,2.003
Ruben Rodriguez,1.996
Paul Gagné,1.9946666666666666
Brad Twigg,1.9842
Billy Lewis,1.983
Joe Hollow,1.972
Jim Van Bebber,1.9715
Enrique V. Rodriguez,1.96
Matthew Mark Hunter,1.954
Christopher James Miller,1.952
Dennis Devine,1.9349999999999998
Richard Lowry,1.9316666666666666
Chris LaMartina,1.922888888888889
Vito Trabucco,1.9226666666666665
John A. Russo,1.92
John Bacchus,1.9163636363636363
Jay Woelfel,1.9136
Sophia Cacciola,1.9125
Joshua Grannell,1.9120000000000001
Zandashé Brown,1.9080000000000001
Jonathan Doe,1.8925
Brad Sykes,1.882
Adam Van Dyke,1.88
Sam Qualiana,1.878
Chris Stokes,1.877
Tim Ritter,1.8766666666666667
Ben Botwick,1.873
Garrett Clancy,1.866
Harry Waldman,1.8615
Evan Tramel,1.8495
James Quinn,1.847
Matthew A. Peters,1.8431666666666666
Joe Castro,1.8404285714285713
Daniel Zubiate,1.84
Dave Campfield,1.8335
Jonas Quastel,1.82
Mario Philip Azzopardi,1.813
Benjamin Brewer,1.813
Brett Mullen,1.8093333333333332
Jonathan See-Ming Kui,1.807
Greg Lamberson,1.794
Mark Allen Michaels,1.793
Bobby Easley,1.789
Scooter McCrae,1.7845
Pete Jacelone,1.7794
Alex Darling,1.7763333333333333
David J. Francis,1.7746666666666666
Anthony Spadaccini,1.76775
Eric Stanze,1.76525
Brian Cunningham,1.7635
Quentin Lee,1.7615
William Burke,1.76
Nicholas Humphries,1.7590000000000001
BC Fourteen,1.75225
Sv Bell,1.7471666666666668
Brian T. Jaynes,1.7405000000000002
B. Luciano Barsuglia,1.7393999999999998
Gavin Michael Booth,1.7388000000000001
Lisa Palenica,1.7380000000000002
Jacob Ennis,1.737
Corbin Timbrook,1.7294
Po-Chih Leong,1.725
Parker Brennon,1.7164000000000001
Nicolas Wendl,1.7096666666666664
Bryce McGuire,1.7
Stuart Paul,1.694
George Cameron Romero,1.693
Stephen Wolfe,1.6920000000000002
Adam Ahlbrandt,1.6902000000000001
Eddie Lengyel,1.68125
Juan Frausto,1.681
George A. Romero,1.6745
Evan Jacobs,1.6721666666666666
Luke Guidici,1.6653333333333336
Joston Theney,1.6545999999999998
Tyler Benjamin,1.652
John Orrichio,1.6482857142857144
Shane Ryan-Reid,1.644
Dave Wascavage,1.64225
Bill Zebub,1.6383043478260868
Jason Rudy,1.638
Emily Hagins,1.6355
Hunter Johnson,1.6219999999999999
James Coleman,1.6203333333333336
Logan Thomas,1.616
Douglas Jackson,1.61
Michael Hoffman Jr.,1.5973333333333333
Len Kabasinski,1.5962
Ron Bonk,1.5945
Michael S. Rodriguez,1.589
Brewce Longo,1.577
Gabriel Carrer,1.576
Eamon Hardiman,1.5535
Eric Pennycoff,1.5485
Tommy Brunswick,1.5412857142857141
Calum Waddell,1.538
Bryan Enk,1.531
Ben Gaudet,1.531
Andrew Schwarz,1.529
Terry West,1.51425
Will Collazo Jr.,1.512
Sean Cruser,1.51125
David Kerr,1.5106666666666666
John Bowker,1.5055
Douglas Buck,1.4936666666666667
Paul Catalanotto,1.48975
Shawn C. Phillips,1.486
Will Lee,1.483
Paulo Biscaia Filho,1.477
Hannah May Cumming,1.474
Mark J. Parker,1.4735
Jay Burleson,1.468
Daniel Zirilli,1.463
Lance Polland,1.4586666666666668
John Johnson,1.4521666666666666
Eric Swelstad,1.4500000000000002
Vivieno Caldinelli,1.4426666666666668
Rob Roy,1.439
Guy Crawford,1.4344
Brian Paulin,1.4294
Joaquin Montalvan,1.426
Larry Rosen,1.42575
Todd Verow,1.4140000000000001
Ryan Scott Weber,1.413
J. Seth Estes,1.4086666666666667
James Crow,1.405
Sam Evenson,1.3960000000000001
Han Kanzler,1.39
Ron Ford,1.3883333333333332
Adam R. Steigert,1.3825
Jacob Perrett,1.382
Henrique Couto,1.3816
Brendan Rudnicki,1.3813333333333333
Ted V. Mikels,1.37825
Kim Sønderholm,1.376
Chase Smith,1.3664999999999998
Dionne Copland,1.365
Ryan Thompson,1.36
Christopher R. Mihm,1.3558571428571429
Steve Sessions,1.352714285714286
Kevin McTurk,1.3523333333333334
